Username,Congressperson,Chamber,Party,State
SenatorBaldwin,Tammy Baldwin,Senate,D,WI
SenJohnBarrasso,John Barrasso,Senate,R,WY
SenatorBennet,Michael Bennet,Senate,D,CO
MarshaBlackburn,Marsha Blackburn,Senate,R,TN
SenBlumenthal,Richard Blumenthal,Senate,D,CT
RoyBlunt,Roy Blunt,Senate,R,MO
CoryBooker,Cory Booker,Senate,D,NJ
JohnBoozman,John Boozman,Senate,R,AR
SenatorBraun,Michael Braun,Senate,R,IN
SenSherrodBrown,Sherrod Brown,Senate,D,OH
SenatorCantwell,Maria Cantwell,Senate,D,WA
SenCapito,Shelley Moore Capito,Senate,R,WV
SenatorCardin,Ben Cardin,Senate,D,MD
SenatorCarper,Tom Carper,Senate,D,DE
SenBobCasey,Bob Casey,Senate,D,PA
SenBillCassidy,Bill Cassidy,Senate,R,LA
ChrisCoons,Chris Coons,Senate,D,DE
JohnCornyn,John Cornyn,Senate,R,TX
SenCortezMasto,Catherine Cortez Masto,Senate,D,NV
SenTomCotton,Tom Cotton,Senate,R,AR
SenKevinCramer,Kevin Cramer,Senate,R,ND
MikeCrapo,Mike Crapo,Senate,R,ID
SenTedCruz,Ted Cruz,Senate,R,TX
SteveDaines,Steve Daines,Senate,R,MT
SenDuckworth,Tammy Duckworth,Senate,D,IL
SenatorDurbin,Dick Durbin,Senate,D,IL
SenJoniErnst,Joni Ernst,Senate,R,IA
SenFeinstein,Dianne Feinstein,Senate,D,CA
SenatorFischer,Deb FIscher,Senate,D,NE
SenGillibrand,Kirsten Gillibrand,Senate,D,NY
LindseyGrahamSC,Lindsey Graham,Senate,R,SC
ChuckGrassley,Chuck Grassley,Senate,R,IA
SenatorHagerty,Bill Hagerty,Senate,R,TN
SenatorHassan,Maggie Hassan,Senate,D,NH
HawleyMO,Josh Hawley,Senate,R,MO
MartinHeinrich,Martin Heinrich,Senate,D,NM
SenatorHick,John Hickenlooper,Senate,D,CO
maziehirono,Mazie Hirono,Senate,D,HI
SenJohnHoeven,John Hoeven,Senate,R,ND
SenHydeSmith,Hyde Smith,Senate,R,MS
JimInhofe,Jim Inhofe,Senate,R,OK
SenRonJohnson,Ron Johnson,Senate,R,WI
timkaine,Tim Kaine,Senate,D,VA
SenMarkKelly,Mark Kelly,Senate,D,AZ
SenJohnKennedy,John Kennedy,Senate,R,LA
SenAngusKing,Angus King,Senate,I,ME
SenAmyKlobuchar,Amy Klobuchar,Senate,D,MN
SenatorLankford,James Lankford,Senate,R,OK
SenatorLeahy,Patrick Leahy,Senate,D,VT
SenMikeLee,Mike Lee,Senate,R,UT
SenatorLujan,Ben Ray Lujan,Senate,D,NM
SenLummis,Cynthia Lummis,Senate,R,WY
Sen_JoeManchin,Joe Manchin,Senate,D,WV
SenMarkey,Edward Markey,Senate,D,MA
SenatorMenendez,Robert Menendez,Senate,D,NJ
SenJeffMerkley,Jeff Merkley,Senate,D,OR
JerryMoran,Jerry Moran,Senate,R,KS
lisamurkowski,Lisa Murkowski,Senate,R,AK
ChrisMurphyCT,Chris Murphy,Senate,D,CT
PattyMurray,Patty Murray,Senate,D,WA
ossoff,John Ossoff,Senate,D,GA
SenAlexPadilla,Alex Padilla,Senate,D,CA
RandPaul,Rand Paul,Senate,R,KY
SenGaryPeters,Gary Peters,Senate,D,MI
senrobportman,Robert Portman,Senate,R,OH
SenJackReed,Jack Reed,Senate,D,RI
SenatorRisch,James Risch,Senate,R,ID
SenatorRomney,Mitt Romney,Senate,R,UT
SenJackyRosen,Jacky Rosen,Senate,D,NV
marcorubio,Marco Rubio,Senate,R,FL
SenSanders,Bernie Sanders,Senate,I,VT
SenSchumer,Chuck Schumer,Senate,D,NY
SenRickScott,Rick Scott,Senate,R,FL
SenatorTimScott,Tim Scott,Senate,R,SC
SenatorShaheen,Jeanne Shaheen,Senate,D,NH
SenatorSinema,Kyrsten Sinema,Senate,I,AZ
SenTinaSmith,Tina Smith,Senate,D,MN
SenStabenow,Debbie Stabenow,Senate,D,MI
SenDanSullivan,Dan Sullivan,Senate,R,AK
SenatorTester,Jon Tester,Senate,D,MT
SenJohnThune,John Thune,Senate,R,SD
SenThomTillis,Thom Tillis,Senate,R,NC
SenToomey,Pat Toomey,Senate,R,PA
SenTuberville,Tommy Tuberville,Senate,R,AL
ChrisVanHollen,Chris Van Hollen,Senate,D,MD
MarkWarner,Mark Warner,Senate,D,VA
SenatorWarnock,Raphael Warnock,Senate,D,GA
SenWarren,Elizabeth Warren,Senate,D,MA
SenWhitehouse,Sheldon Whitehouse,Senate,D,RI
SenatorWicker,Roger Wicker,Senate,R,MS
RonWyden,Ron Wyden,Senate,D,OR
SenToddYoung,Todd Young,Senate,R,IN
RepAdams,Alma Adams,House,D,NC
Robert_Aderholt,Robert Aderholt,House,R,AL
RepPeteAguilar,Pete Aguilar,House,D,CA
RepRickAllen,Rick Allen,House,R,GA
RepColinAllred,Colin Allred,House,D,TX
RepArmstrongND,Kelly Armstrong,House,R,ND
RepArrington,Jodey Arrington,House,R,TX
RepAuchincloss,Jake Auchincloss,House,D,MA
RepCindyAxne,Cynthia Axne,House,D,IA
RepBrianBabin,Brian Babin,House,R,TX
RepDonBacon,Don Bacon,House,R,NE
RepJimBaird,Jim Baird,House,R,IN
RepBalderson,Troy Balderson,House,R,OH
RepJimBanks,Jim Banks,House,R,IN
RepAndyBarr,Andy Barr,House,R,KY
RepBarragan,Nanette Barragan,House,D,CA
RepKarenBass,Karen Bass,House,D,CA
RepBeatty,Joyce Beatty,House,D,OH
RepBera,Ami Bera,House,D,CA
RepDonBeyer,Don Beyer,House,D,VA
RepBice,Stephanie Bice,House,R,OK
RepAndyBiggsAZ,Andy Biggs,House,R,AZ
RepGusBilirakis,Gus Bilirakis,House,R,FL
SanfordBishop,Sanford Bishop,House,D,GA
RepDanBishop,Dan Bishop,House,R,NC
RepLBR,Lisa Blunt Rochester,House,D,DE
RepBoebert,Lauren Boebert,House,R,CO
RepBonamici,Suzzane Bonamici,House,D,OR
RepBost,Michael Bost,House,R,IL
RepBourdeaux,Carolyn Bourdeaux,House,D,GA
RepBowman,Jamaal Bowman,House,D,NY
CongBoyle,Brendan Boyle,House,D,PA
RepKevinBrady,Kevin Brady,House,R,TX
RepMoBrooks,Mo Brooks,House,R,AL
RepAnthonyBrown,Anthony Brown,House,D,MD
RepShontelBrown,Shontel Brown,House,D,OH
RepBrownley,Julia Brownley,House,D,CA
VernBuchanan,Vern Buchanan,House,R,FL
RepKenBuck,Ken Buck,House,R,CO
RepLarryBucshon,Larry Bucshon,House,R,IN
RepTedBudd,Tedd Budd,House,R,NC
RepTimBurchett,Tim Burchett,House,R,TN
michaelcburgess,Michael Burgess,House,R,TX
RepCori,Cori Bush,House,D,MO
RepCheri,Cheri Bustos,House,D,IL
RepKatCammack,Kat Cammack,House,R,FL
RepCarbajal,Salud Carbajal,House,D,CA
RepCardenas,Tony Cardenas,House,D,CA
RepMikeCarey,Mikey Carey,House,R,OH
RepJerryCarl,Jerry L. Carl,House,R,AL
RepAndreCarson,Andre Carson,House,D,IN
RepBuddyCarter,Buddy Carter,House,R,GA
JudgeCarter,Judge Carter,House,R,TX
RepTroyCarter,Troy Carter,House,D,LA
RepEdCase,Ed Case,House,D,HI
RepCasten,Sean Casten,House,D,IL
USRepKCastor,Kathy Castor,House,D,FL
